strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count	base_strain	lookup_strain	gisaid_query_strain	decorated_name	match_type	matched_existing_strain	autofilled	repo_match_type	repo_header	repo_strain	repo_matched	repo_aa_length	gisaid_match_type	gisaid_header	gisaid_matched_strain	gisaid_matched	gisaid_aa_length	total_measurement_count	public_lookup_strain	public_status	public_matched_title	public_matched_ha_record	public_note	public_aa_length	gisaid_selected_isolate_id	gisaid_selected_passage	gisaid_selected_lab	gisaid_selection_reason	gisaid_selection_review_flag
A/BAYERN/7/1995		A	H3N2	1995.0		virus_and_reference	28	52	A/BAYERN/7/1995	A/BAYERN/7/1995	A/BAYERN/7/1995	False			False				False					False		80	A/BAYERN/7/1995	ird_match									False
A/BEIJING/262/1995		A	H3N2	1995.0		virus_and_reference	14	33	A/BEIJING/262/1995	A/BEIJING/262/1995	A/BEIJING/262/1995	False			False				False					False		47	A/BEIJING/262/1995	ird_match									False
A/BEIJING/32/1992	A_BEIJING_32_1992	A	H3N2	1992.0	PAPER_REPO_HA1	virus_and_reference	312	2414	A/BEIJING/32/1992	A/BEIJING/32/1992	A/BEIJING/32/1992	False	exact_strain	A/Beijing/32/1992	True	repo_exact	A_BEIJING_32_1992	A/BEIJING/32/1992	True	328.0				False		2726	A/BEIJING/32/1992										False
A/BEIJING/352/1989	EPI_ISL_110905	A	H3N2	1989.0	GISAID	virus_and_reference	152	1867	A/BEIJING/352/1989	A/BEIJING/352/1989	A/BEIJING/352/1989	False	exact_strain	A/Beijing/352/1989	True				False		canonical_isolate_id	EPI_ISL_110905|A/Beijing/352/1989|1989-01-01|xE1_MDCK1|1989-01-01|	A/BEIJING/352/1989	True	566	2019	A/BEIJING/352/1989						EPI_ISL_110905	xE1_MDCK1		prefer_longest_sequence	False
A/BEIJING/39/1992		A	H3N2	1992.0		virus_and_reference	7	20	A/BEIJING/39/1992	A/BEIJING/39/1992	A/BEIJING/39/1992	False			False				False					False		27	A/BEIJING/39/1992	no_public_match									False
A/BELGIUM/G0023/2019	EPI_ISL_353982	A	H3N2	2019.0	GISAID	virus_and_reference	17	12	A/BELGIUM/G0023/2019	A/BELGIUM/G0023/2019	A/BELGIUM/G0023/2019	False			False				False		canonical_isolate_id	EPI_ISL_344063|A/Belgium/G0023/2019|2019-01-03|cs|2019-01-03|Scientific_Institute_of_Public_Health	A/BELGIUM/G0023/2019	True	566	29	A/BELGIUM/G0023/2019						EPI_ISL_344063	cs	Scientific_Institute_of_Public_Health	prefer_passage_class	False
A/BELGIUM/G0023/2019@NIB117	EPI_ISL_353982	A	H3N2		GISAID	virus_and_reference	8	6	A/BELGIUM/G0023/2019	A/BELGIUM/G0023/2019	A/BELGIUM/G0023/2019	True			False				False		canonical_isolate_id	EPI_ISL_344063|A/Belgium/G0023/2019|2019-01-03|cs|2019-01-03|Scientific_Institute_of_Public_Health	A/BELGIUM/G0023/2019	True	566	14	A/BELGIUM/G0023/2019						EPI_ISL_344063	cs	Scientific_Institute_of_Public_Health	prefer_passage_class	False
A/BERLIN/2/2006	A_BERLIN_2_2006	A	H3N2	2006.0	PAPER_REPO_HA1	virus_and_reference	285	916	A/BERLIN/2/2006	A/BERLIN/2/2006	A/BERLIN/2/2006	False			False	repo_exact	A_BERLIN_2_2006	A/BERLIN/2/2006	True	328.0				False		1201	A/BERLIN/2/2006										False
A/BERLIN/93/2011	A_BERLIN_93_2011	A	H3N2	2011.0	PAPER_REPO_HA1	virus_and_reference	811	2022	A/BERLIN/93/2011	A/BERLIN/93/2011	A/BERLIN/93/2011	False			False	repo_exact	A_BERLIN_93_2011	A/BERLIN/93/2011	True	328.0				False		2833	A/BERLIN/93/2011										False
A/BRATISLAVA/6/1997	A_BRATISLAVA_6_1997	A	H3N2	1997.0	PAPER_REPO_HA1	virus_and_reference	200	580	A/BRATISLAVA/6/1997	A/BRATISLAVA/6/1997	A/BRATISLAVA/6/1997	False			False	repo_exact	A_BRATISLAVA_6_1997	A/BRATISLAVA/6/1997	True	328.0				False		780	A/BRATISLAVA/6/1997										False
A/BRAZIL/2/1991		A	H3N2	1991.0		virus_and_reference	18	23	A/BRAZIL/2/1991	A/BRAZIL/2/1991	A/BRAZIL/2/1991	False			False				False					False		41	A/BRAZIL/2/1991	no_public_match									False
A/BRAZIL/2/1991@LOT92		A	H3N2			virus_and_reference	9	11	A/BRAZIL/2/1991	A/BRAZIL/2/1991	A/BRAZIL/2/1991	True			False				False					False		20	A/BRAZIL/2/1991	no_public_match									False
A/BRETAGNE/1413/2017	EPI_ISL_283128	A	H3N2	2017.0	GISAID	virus_and_reference	479	1044	A/BRETAGNE/1413/2017	A/BRETAGNE/1413/2017	A/BRETAGNE/1413/2017	False			False				False		canonical_isolate_id	EPI_ISL_292377|A/Bretagne/1413/2017|2017-10-09|MDCK2/SIAT2|2017-10-09|Institut_Pasteur	A/BRETAGNE/1413/2017	True	566	1523	A/BRETAGNE/1413/2017						EPI_ISL_292377	MDCK2/SIAT2	Institut_Pasteur	prefer_passage_class	True
A/BRETAGNE/1565/2017	EPI_ISL_319714	A	H3N2	2017.0	GISAID	virus_and_reference	12	9	A/BRETAGNE/1565/2017	A/BRETAGNE/1565/2017	A/BRETAGNE/1565/2017	False			False				False		canonical_isolate_id	EPI_ISL_292379|A/Bretagne/1565/2017|2017-11-27|SIAT2|2017-11-27|Institut_Pasteur	A/BRETAGNE/1565/2017	True	566	21	A/BRETAGNE/1565/2017						EPI_ISL_292379	SIAT2	Institut_Pasteur	prefer_passage_class	False
A/BRISBANE/10/2007	A_BRISBANE_10_2007	A	H3N2	2007.0	PAPER_REPO_HA1	virus_and_reference	1071	2865	A/BRISBANE/10/2007	A/BRISBANE/10/2007	A/BRISBANE/10/2007	False	exact_strain	A/Brisbane/10/2007	True	repo_exact	A_BRISBANE_10_2007	A/BRISBANE/10/2007	True	328.0				False		3936	A/BRISBANE/10/2007										False
A/BRISBANE/2/1990		A	H3N2	1990.0		virus_and_reference	20	21	A/BRISBANE/2/1990	A/BRISBANE/2/1990	A/BRISBANE/2/1990	False			False				False					False		41	A/BRISBANE/2/1990	no_public_match									False
A/BRISBANE/202/2007	EPI_ISL_356907	A	H3N2	2007.0	GISAID	virus_and_reference	13	17	A/BRISBANE/202/2007	A/BRISBANE/202/2007	A/BRISBANE/202/2007	False			False				False		canonical_isolate_id	EPI_ISL_356907|A/Brisbane/202/2007|2007-07-15|E1|2007-07-15|Queensland_Health_Forensic_and_Scientific_Services	A/BRISBANE/202/2007	True	322	30	A/BRISBANE/202/2007						EPI_ISL_356907	E1	Queensland_Health_Forensic_and_Scientific_Services	single_isolate_id	False
A/BRISBANE/229/2007	EPI_ISL_356910	A	H3N2	2007.0	GISAID	virus_and_reference	13	17	A/BRISBANE/229/2007	A/BRISBANE/229/2007	A/BRISBANE/229/2007	False			False				False		canonical_isolate_id	EPI_ISL_356910|A/Brisbane/229/2007|2007-07-23|E3|2007-07-23|Queensland_Health_Forensic_and_Scientific_Services	A/BRISBANE/229/2007	True	322	30	A/BRISBANE/229/2007						EPI_ISL_356910	E3	Queensland_Health_Forensic_and_Scientific_Services	single_isolate_id	False
A/BRISBANE/24/2008	A_BRISBANE_24_2008	A	H3N2	2008.0	PAPER_REPO_HA1	virus_and_reference	245	866	A/BRISBANE/24/2008	A/BRISBANE/24/2008	A/BRISBANE/24/2008	False	exact_strain	A/Brisbane/24/2008	True	repo_exact	A_BRISBANE_24_2008	A/BRISBANE/24/2008	True	328.0				False		1111	A/BRISBANE/24/2008										False
A/BRISBANE/299/2011	EPI_ISL_99750	A	H3N2	2011.0	GISAID	virus_and_reference	14	33	A/BRISBANE/299/2011	A/BRISBANE/299/2011	A/BRISBANE/299/2011	False			False				False		canonical_isolate_id	EPI_ISL_99750|A/BRISBANE/299/2011|2011-08-13|MDCK2|2011-08-13|Queensland_Health_Forensic_and_Scientific_Services	A/BRISBANE/299/2011	True	566	47	A/BRISBANE/299/2011						EPI_ISL_99750	MDCK2	Queensland_Health_Forensic_and_Scientific_Services	prefer_passage_class	True
A/BRISBANE/299/2011@IVR164	EPI_ISL_99750	A	H3N2		GISAID	virus_and_reference	26	35	A/BRISBANE/299/2011	A/BRISBANE/299/2011	A/BRISBANE/299/2011	True			False				False		canonical_isolate_id	EPI_ISL_99750|A/BRISBANE/299/2011|2011-08-13|MDCK2|2011-08-13|Queensland_Health_Forensic_and_Scientific_Services	A/BRISBANE/299/2011	True	566	61	A/BRISBANE/299/2011						EPI_ISL_99750	MDCK2	Queensland_Health_Forensic_and_Scientific_Services	prefer_passage_class	True
A/BRISBANE/3/2005	EF566225	A	H3N2	2005.0	IRD	virus_and_reference	50	136	A/BRISBANE/3/2005	A/BRISBANE/3/2005	A/BRISBANE/3/2005	False	exact_strain	A/Brisbane/3/2005	True				False		canonical_isolate_id	EPI_ISL_167297|A/BRISBANE/3/2005|2005-11-01|passage_details:_X,_MDCK2|2005-11-01|	A/BRISBANE/3/2005	True	566	186	A/BRISBANE/3/2005						EPI_ISL_167297	passage_details:_X,_MDCK2		prefer_passage_class	True
A/BUCHAREST/226/1999	A_BUCHAREST_226_1999	A	H3N2	1999.0	PAPER_REPO_HA1	virus_and_reference	26	60	A/BUCHAREST/226/1999	A/BUCHAREST/226/1999	A/BUCHAREST/226/1999	False			False	repo_exact	A_BUCHAREST_226_1999	A/BUCHAREST/226/1999	True	328.0				False		86	A/BUCHAREST/226/1999										False
A/BUCHAREST/229/1999	A_BUCHAREST_229_1999	A	H3N2	1999.0	PAPER_REPO_HA1	virus_and_reference	89	205	A/BUCHAREST/229/1999	A/BUCHAREST/229/1999	A/BUCHAREST/229/1999	False			False	repo_exact	A_BUCHAREST_229_1999	A/BUCHAREST/229/1999	True	328.0				False		294	A/BUCHAREST/229/1999										False
A/BUCURESTI/193605/2016	EPI_ISL_223632	A	H3N2	2016.0	GISAID	virus_and_reference	25	18	A/BUCURESTI/193605/2016	A/BUCURESTI/193605/2016	A/BUCURESTI/193605/2016	False			False				False		canonical_isolate_id	EPI_ISL_216510|A/Bucuresti/193605/2016|2016-04-02|Siat_1|2016-04-02|Cantacuzino_Institute	A/BUCURESTI/193605/2016	True	566	43	A/BUCURESTI/193605/2016						EPI_ISL_216510	Siat_1	Cantacuzino_Institute	prefer_low_ambiguity	True
A/BULGARIA/270/2013	A_BULGARIA_270_2013	A	H3N2	2013.0	PAPER_REPO_HA1	virus_and_reference	47	16	A/BULGARIA/270/2013	A/BULGARIA/270/2013	A/BULGARIA/270/2013	False			False	repo_exact	A_BULGARIA_270_2013	A/BULGARIA/270/2013	True	328.0				False		63	A/BULGARIA/270/2013										False
A/CAEN/1/1984	EPI_ISL_901	A	H3N2	1984.0	GISAID	virus_and_reference	16	31	A/CAEN/1/1984	A/CAEN/1/1984	A/CAEN/1/1984	False	exact_strain	A/Caen/1/1984	True				False					False		47	A/CAEN/1/1984										False
A/CALIFORNIA/32/1999	A_CALIFORNIA_32_1999	A	H3N2	1999.0	PAPER_REPO_HA1	virus_and_reference	8	13	A/CALIFORNIA/32/1999	A/CALIFORNIA/32/1999	A/CALIFORNIA/32/1999	False			False	repo_exact	A_CALIFORNIA_32_1999	A/CALIFORNIA/32/1999	True	328.0				False		21	A/CALIFORNIA/32/1999										False
A/CALIFORNIA/55/2020	EPI_ISL_1296489	A	H3N2	2020.0	GISAID	virus_and_reference	22	26	A/CALIFORNIA/55/2020	A/CALIFORNIA/55/2020	A/CALIFORNIA/55/2020	False			False				False		canonical_isolate_id	EPI_ISL_717647|A/California/55/2020|2020-10-12|Original|2020-10-12|California_Department_of_Health_Services	A/CALIFORNIA/55/2020	True	566	48	A/CALIFORNIA/55/2020						EPI_ISL_717647	Original	California_Department_of_Health_Services	identical_sequences	False
A/CALIFORNIA/7/2004	A_CALIFORNIA_7_2004	A	H3N2	2004.0	PAPER_REPO_HA1	virus_and_reference	713	2507	A/CALIFORNIA/7/2004	A/CALIFORNIA/7/2004	A/CALIFORNIA/7/2004	False	exact_strain	A/California/7/2004	True	repo_exact	A_CALIFORNIA_7_2004	A/CALIFORNIA/7/2004	True	328.0				False		3220	A/CALIFORNIA/7/2004										False
A/CAMBODIA/925256/2020	EPI_ISL_732316	A	H3N2	2020.0	GISAID	virus_and_reference	27	38	A/CAMBODIA/925256/2020	A/CAMBODIA/925256/2020	A/CAMBODIA/925256/2020	False			False				False		canonical_isolate_id	EPI_ISL_732316|A/Cambodia/925256/2020|2020-09-25|cs|2020-09-25|Institut_Pasteur_du_Cambodia	A/CAMBODIA/925256/2020	True	566	65	A/CAMBODIA/925256/2020						EPI_ISL_732316	cs	Institut_Pasteur_du_Cambodia	identical_sequences	False
A/CAMBODIA/E0826360/2020	EPI_ISL_1296487	A	H3N2	2020.0	GISAID	virus_and_reference	86	75	A/CAMBODIA/E0826360/2020	A/CAMBODIA/E0826360/2020	A/CAMBODIA/E0826360/2020	False			False				False		canonical_isolate_id	EPI_ISL_710475|A/Cambodia/e0826360/2020|2020-07-16|Original_Sample|2020-07-16|Institute_Pasteur_du_Cambodia	A/CAMBODIA/E0826360/2020	True	566	161	A/CAMBODIA/E0826360/2020						EPI_ISL_710475	Original_Sample	Institute_Pasteur_du_Cambodia	prefer_passage_class	False
A/CHRISTCHURCH/1/1996	A_CHRISTCHURCH_1_1996	A	H3N2	1996.0	PAPER_REPO_HA1	virus_and_reference	8	24	A/CHRISTCHURCH/1/1996	A/CHRISTCHURCH/1/1996	A/CHRISTCHURCH/1/1996	False			False	repo_exact	A_CHRISTCHURCH_1_1996	A/CHRISTCHURCH/1/1996	True	328.0				False		32	A/CHRISTCHURCH/1/1996										False
A/CHRISTCHURCH/28/2003	A_CHRISTCHURCH_28_2003	A	H3N2	2003.0	PAPER_REPO_HA1	virus_and_reference	342	1326	A/CHRISTCHURCH/28/2003	A/CHRISTCHURCH/28/2003	A/CHRISTCHURCH/28/2003	False	exact_strain	A/ChristChurch/28/2003	True	repo_exact	A_CHRISTCHURCH_28_2003	A/CHRISTCHURCH/28/2003	True	328.0				False		1668	A/CHRISTCHURCH/28/2003										False
