query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file	header_strain	header_collection_date	header_passage	header_submission_date	header_lab	header_raw	sequence_length	ambiguity_count	sequence_hash	passage_class	passage_score	passage_burden	is_max_length	is_ha1_complete	variant_count_at_max_length	group_n_ids	group_n_unique_sequences	group_max_length	group_n_max_length_variants	group_selected_class	group_n_selected_class_variants	group_top_variant_count	group_second_variant_count	group_top_variant_fraction	group_min_pairwise_diff_selected_class	group_max_pairwise_diff_selected_class	selection_reason	review_flag
A/AICHI/2/1968	A/Aichi/2/1968	EPI_ISL_123225	1968	Asia / Japan / Aichi	Human	gisaid_meta_2010.xls	A/Aichi/2/1968	1968-08-01	Egg	1968-08-01		EPI_ISL_123225|A/Aichi/2/1968|1968-08-01|Egg|1968-08-01|	566	0	53837e6f7028db97	egg	2	0	True	True	1	3	3	566	3	ha1_complete	3	1	1	0.3333333333333333	3	20	prefer_passage_class	True
A/AKMOLINSK/145/2017	A/Akmolinsk/145/2017	EPI_ISL_300406	2017-12-25	Asia / Kazakhstan	Human	gisaid_meta_2017.xls	A/Akmolinsk/145/2017	2017-12-25	MDCKx/MDCK1	2017-12-25	National_Reference_Laboratory	EPI_ISL_300406|A/Akmolinsk/145/2017|2017-12-25|MDCKx/MDCK1|2017-12-25|National_Reference_Laboratory	566	0	c4e4529db87d048a	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/AKSARAY/4048/2016	A/Aksaray/4048/2016	EPI_ISL_232833	2016-03-01	Asia / Turkey	Human	gisaid_meta_2015-2016.xls	A/Aksaray/4048/2016	2016-03-01	MDCK1	2016-03-01	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_232833|A/Aksaray/4048/2016|2016-03-01|MDCK1|2016-03-01|Refik_Saydam_National_Public_Health_Agency	566	0	a25b15cb43ae1cda	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ALASKA/232/2015	A/Alaska/232/2015	EPI_ISL_202884	2015-09-09	North America / United States / Alaska	Human	gisaid_meta_2015-2016.xls	A/Alaska/232/2015	2015-09-09	Original	2015-09-09	Alaska_State_Virology_Lab	EPI_ISL_202884|A/Alaska/232/2015|2015-09-09|Original|2015-09-09|Alaska_State_Virology_Lab	566	0	720f4c6e6937564c	original	0	0	True	True	4	6	2	566	2	ha1_complete	2	4	2	0.6666666666666666	4	4	prefer_passage_class	True
A/ALASKA/5/2010	A/ALASKA/5/2010	EPI_ISL_88045	2010-08-12	North America / United States / Alaska	Human	gisaid_meta_2010.xls	A/ALASKA/5/2010	2010-08-12	E3	2010-08-12	Centers_for_Disease_Control_and_Prevention	EPI_ISL_88045|A/ALASKA/5/2010|2010-08-12|E3|2010-08-12|Centers_for_Disease_Control_and_Prevention	566	0	5472f5bfb04f0def	egg	2	3	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ALBANIA/9142/2019	A/Albania/9142/2019	EPI_ISL_342077	2019-01-19	Europe / Albania	Human	gisaid_meta_2019.xls	A/Albania/9142/2019	2019-01-19	SIAT1	2019-01-19	Institute_of_Public_Health	EPI_ISL_342077|A/Albania/9142/2019|2019-01-19|SIAT1|2019-01-19|Institute_of_Public_Health	566	1	d4607913f0068931	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ALGERIA/453/2006	A/ALGERIA/453/2006	EPI_ISL_17597	2006	Africa / Algeria	Human	gisaid_meta_2010.xls	A/ALGERIA/453/2006	2006-01-01		2006-01-01		EPI_ISL_17597|A/ALGERIA/453/2006|2006-01-01||2006-01-01|	329	0	7e384ed3f02e18d5	unknown	4	0	True	True	1	1	1	329	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ALGIERS/120/2012	A/Algiers/120/2012	EPI_ISL_136361	2012-11-17	Africa / Algeria	Human	gisaid_meta_2011-2014.xls	A/Algiers/120/2012	2012-11-17	C1/SIAT1	2012-11-17	Institut_Pasteur_d'Algerie	EPI_ISL_136361|A/Algiers/120/2012|2012-11-17|C1/SIAT1|2012-11-17|Institut_Pasteur_d'Algerie	566	0	d9db16d81630d951	cell	1	2	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ALGIERS/368/2020	A/Algiers/368/2020	EPI_ISL_434387	2020-02-13	Africa / Algeria	Human	gisaid_meta_2020-21.xls	A/Algiers/368/2020	2020-02-13	cs	2020-02-13	Institut_Pasteur_d'Algerie	EPI_ISL_434387|A/Algiers/368/2020|2020-02-13|cs|2020-02-13|Institut_Pasteur_d'Algerie	566	0	78f2ef7fa930aae1	original	0	0	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ALMATY/2848/2013	A/Almaty/2848/2013	EPI_ISL_138454	2013-01-15	Asia / Kazakhstan	Human	gisaid_meta_2011-2014.xls	A/Almaty/2848/2013	2013-01-15	SIAT1	2013-01-15	National_Reference_Laboratory	EPI_ISL_138454|A/Almaty/2848/2013|2013-01-15|SIAT1|2013-01-15|National_Reference_Laboratory	566	0	5aa139ee23cc8f8c	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ALSACE/1571/2015	A/Alsace/1571/2015	EPI_ISL_191635	2015-03-21	Europe / France / Alsace / Departement du Bas-Rhin	Human	gisaid_meta_2015-2016.xls	A/Alsace/1571/2015	2015-03-21	c2	2015-03-21	Institut_Pasteur	EPI_ISL_191635|A/Alsace/1571/2015|2015-03-21|c2|2015-03-21|Institut_Pasteur	550	0	a1643440352dced4	cell	1	2	False	True	1	2	2	566	1	ha1_complete	2	1	1	1.0	526	526	prefer_low_ambiguity	True
A/ALSACE/3215/2016	A/Alsace/3215/2016	EPI_ISL_245164	2016-12-09	Europe / France	Human	gisaid_meta_2015-2016.xls	A/Alsace/3215/2016	2016-12-09	MDCK1/SIAT1	2016-12-09	Institut_Pasteur	EPI_ISL_245164|A/Alsace/3215/2016|2016-12-09|MDCK1/SIAT1|2016-12-09|Institut_Pasteur	566	1	272a2968c73ebb36	cell	1	2	True	True	1	2	2	566	2	ha1_complete	2	1	1	0.5	1	1	prefer_passage_class	True
A/ANKARA/1050/2017	A/Ankara/1050/2017	EPI_ISL_303909	2017-12-01	Asia / Turkey	Human	gisaid_meta_2017.xls	A/Ankara/1050/2017	2017-12-01	SIAT1/SIAT1	2017-12-01	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_303909|A/Ankara/1050/2017|2017-12-01|SIAT1/SIAT1|2017-12-01|Refik_Saydam_National_Public_Health_Agency	566	0	f4862f324ea29147	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/1907/2016	A/Ankara/1907/2016	EPI_ISL_267693	2016-12-06	Asia / Turkey	Human	gisaid_meta_2015-2016.xls	A/Ankara/1907/2016	2016-12-06	MDCK1/SIAT1	2016-12-06	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_267693|A/Ankara/1907/2016|2016-12-06|MDCK1/SIAT1|2016-12-06|Refik_Saydam_National_Public_Health_Agency	566	0	fb2c35f2cd03e449	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/22/2018	A/Ankara/22/2018	EPI_ISL_312305	2018-01-03	Asia / Turkey / TURKEY	Human	gisaid_meta_2018.xls	A/Ankara/22/2018	2018-01-03	SIAT	2018-01-03	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_312305|A/Ankara/22/2018|2018-01-03|SIAT|2018-01-03|Refik_Saydam_National_Public_Health_Agency	566	0	f4862f324ea29147	cell	1	0	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ANKARA/221/2014	A/Ankara/221/2014	EPI_ISL_155885	2014-01-10	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Ankara/221/2014	2014-01-10	SIAT1/SIAT1	2014-01-10	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155885|A/Ankara/221/2014|2014-01-10|SIAT1/SIAT1|2014-01-10|Refik_Saydam_National_Public_Health_Agency	566	0	454732b38454c588	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/266/2014	A/Ankara/266/2014	EPI_ISL_158821	2014-01-14	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Ankara/266/2014	2014-01-14	cs	2014-01-14	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_158821|A/Ankara/266/2014|2014-01-14|cs|2014-01-14|Refik_Saydam_National_Public_Health_Agency	566	0	c8d4177aa08e1914	original	0	0	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ANKARA/4084/2013	A/Ankara/4084/2013	EPI_ISL_156895	2013-12-20	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Ankara/4084/2013	2013-12-20	SIAT1/SIAT1	2013-12-20	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_156895|A/Ankara/4084/2013|2013-12-20|SIAT1/SIAT1|2013-12-20|Refik_Saydam_National_Public_Health_Agency	566	0	796799a648490800	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/4236/2013	A/Ankara/4236/2013	EPI_ISL_156896	2013-12-30	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Ankara/4236/2013	2013-12-30	SIAT1/SIAT1	2013-12-30	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_156896|A/Ankara/4236/2013|2013-12-30|SIAT1/SIAT1|2013-12-30|Refik_Saydam_National_Public_Health_Agency	566	0	454732b38454c588	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/4247/2013	A/Ankara/4247/2013	EPI_ISL_155886	2013-12-31	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Ankara/4247/2013	2013-12-31	SIAT1/SIAT1	2013-12-31	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_155886|A/Ankara/4247/2013|2013-12-31|SIAT1/SIAT1|2013-12-31|Refik_Saydam_National_Public_Health_Agency	566	0	454732b38454c588	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANKARA/TR49/2011	A/ANKARA/TR-49/2011	EPI_ISL_96020	2011-01-06	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/ANKARA/TR-49/2011	2011-01-06	SIAT1/SIAT1	2011-01-06	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_96020|A/ANKARA/TR-49/2011|2011-01-06|SIAT1/SIAT1|2011-01-06|Refik_Saydam_National_Public_Health_Agency	566	0	2448e5ab7a3b9662	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/204/2011	A/Antalya/204/2011	EPI_ISL_107818	2011-12-19	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Antalya/204/2011	2011-12-19	C1/SIAT1	2011-12-19		EPI_ISL_107818|A/Antalya/204/2011|2011-12-19|C1/SIAT1|2011-12-19|	566	0	da5b269c04e4b628	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/214/2011	A/Antalya/214/2011	EPI_ISL_107819	2011-12-20	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Antalya/214/2011	2011-12-20	C1/SIAT2	2011-12-20		EPI_ISL_107819|A/Antalya/214/2011|2011-12-20|C1/SIAT2|2011-12-20|	566	0	b69c30d7a8a67afb	cell	1	3	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/251/2013	A/Antalya/251/2013	EPI_ISL_153940	2013-12-16	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/Antalya/251/2013	2013-12-16	MDCK1/SIAT1	2013-12-16	Istanbul_University	EPI_ISL_153940|A/Antalya/251/2013|2013-12-16|MDCK1/SIAT1|2013-12-16|Istanbul_University	566	0	9a13454253797b53	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/3562/2016	A/Antalya/3562/2016	EPI_ISL_232836	2016-02-12	Asia / Turkey	Human	gisaid_meta_2015-2016.xls	A/Antalya/3562/2016	2016-02-12	MDCK1/SIAT1	2016-02-12	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_232836|A/Antalya/3562/2016|2016-02-12|MDCK1/SIAT1|2016-02-12|Refik_Saydam_National_Public_Health_Agency	566	0	87f856deb014efd4	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/4/2018	A/Antalya/4/2018	EPI_ISL_336244	2018-12-18	Asia / Turkey	Human	gisaid_meta_2018.xls	A/Antalya/4/2018	2018-12-18	SIAT1	2018-12-18	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_336244|A/Antalya/4/2018|2018-12-18|SIAT1|2018-12-18|Refik_Saydam_National_Public_Health_Agency	566	0	ad1918d9122089c5	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTALYA/7/2018	A/Antalya/7/2018	EPI_ISL_336246	2018-12-18	Asia / Turkey	Human	gisaid_meta_2018.xls	A/Antalya/7/2018	2018-12-18	SIAT1	2018-12-18	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_336246|A/Antalya/7/2018|2018-12-18|SIAT1|2018-12-18|Refik_Saydam_National_Public_Health_Agency	566	0	26804417e26819ac	cell	1	1	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ANTALYA/TR55/2011	A/ANTALYA/TR-55/2011	EPI_ISL_96022	2011-01-24	Asia / Turkey	Human	gisaid_meta_2011-2014.xls	A/ANTALYA/TR-55/2011	2011-01-24	SIAT1/SIAT1	2011-01-24	Refik_Saydam_National_Public_Health_Agency	EPI_ISL_96022|A/ANTALYA/TR-55/2011|2011-01-24|SIAT1/SIAT1|2011-01-24|Refik_Saydam_National_Public_Health_Agency	566	0	2490162477250573	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTANANARIVO/3635/2012	A/Antananarivo/3635/2012	EPI_ISL_141661	2012-06-14	Africa / Madagascar	Human	gisaid_meta_2011-2014.xls	A/Antananarivo/3635/2012	2012-06-14	MDCK1/SIAT1	2012-06-14	Institut_Pasteur_de_Madagascar	EPI_ISL_141661|A/Antananarivo/3635/2012|2012-06-14|MDCK1/SIAT1|2012-06-14|Institut_Pasteur_de_Madagascar	566	0	b69c30d7a8a67afb	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTANANARIVO/3669/2012	A/Antananarivo/3669/2012	EPI_ISL_141662	2012-06-13	Africa / Madagascar	Human	gisaid_meta_2011-2014.xls	A/Antananarivo/3669/2012	2012-06-13	MDCK1/SIAT1	2012-06-13	Institut_Pasteur_de_Madagascar	EPI_ISL_141662|A/Antananarivo/3669/2012|2012-06-13|MDCK1/SIAT1|2012-06-13|Institut_Pasteur_de_Madagascar	566	0	ccb7f9befb5b91b7	cell	1	2	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTSIRABE/2096/2017	A/Antsirabe/2096/2017	EPI_ISL_276262	2017-05-02	Africa / Madagascar	Human	gisaid_meta_2017.xls	A/Antsirabe/2096/2017	2017-05-02	MDCK2/SIAT1	2017-05-02	Institut_Pasteur_de_Madagascar	EPI_ISL_276262|A/Antsirabe/2096/2017|2017-05-02|MDCK2/SIAT1|2017-05-02|Institut_Pasteur_de_Madagascar	566	1	35f4b52d45177378	cell	1	3	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ANTSIRABE/2267/2016	A/Antsirabe/2267/2016	EPI_ISL_231803	2016-05-23	Africa / Madagascar	Human	gisaid_meta_2015-2016.xls	A/Antsirabe/2267/2016	2016-05-23	SIAT1	2016-05-23	Institut_Pasteur_de_Madagascar	EPI_ISL_231803|A/Antsirabe/2267/2016|2016-05-23|SIAT1|2016-05-23|Institut_Pasteur_de_Madagascar	566	0	50351b7af556476f	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ARAGON/13140/2020	A/Aragon/13140/2020	EPI_ISL_529037	2020-03-05	Europe / Spain	Human	gisaid_meta_2020-21.xls	A/Aragon/13140/2020	2020-03-05	SIAT1	2020-03-05	Instituto_de_Salud_Carlos_III	EPI_ISL_529037|A/Aragon/13140/2020|2020-03-05|SIAT1|2020-03-05|Instituto_de_Salud_Carlos_III	566	0	239acb62467a9660	cell	1	1	True	True	1	1	1	566	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
A/ARAGON/13141/2020	A/Aragon/13141/2020	EPI_ISL_527185	2020-02-25	Europe / Spain	Human	gisaid_meta_2020-21.xls	A/Aragon/13141/2020	2020-02-25	cs	2020-02-25	Instituto_de_Salud_Carlos_III	EPI_ISL_527185|A/Aragon/13141/2020|2020-02-25|cs|2020-02-25|Instituto_de_Salud_Carlos_III	566	0	66d9865bf8fc8697	original	0	0	True	True	2	2	1	566	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ARAGON/2031/2014	A/Aragon/2031/2014	EPI_ISL_169244	2014-11-07	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls	A/Aragon/2031/2014	2014-11-07	MDCK	2014-11-07	Servicio_de_Microbiologia_Hospital_Miguel_Servet	EPI_ISL_169244|A/Aragon/2031/2014|2014-11-07|MDCK|2014-11-07|Servicio_de_Microbiologia_Hospital_Miguel_Servet	565	0	c5a148440344434f	cell	1	0	False	True	1	2	2	566	1	ha1_complete	2	1	1	1.0	545	545	prefer_low_ambiguity	True
A/ARAGON/2062/2014	A/Aragon/2062/2014	EPI_ISL_170263	2014-11-27	Europe / Spain	Human	gisaid_meta_2011-2014.xls	A/Aragon/2062/2014	2014-11-27	SIAT1/SIAT1	2014-11-27	Instituto_de_Salud_Carlos_III	EPI_ISL_170263|A/Aragon/2062/2014|2014-11-27|SIAT1/SIAT1|2014-11-27|Instituto_de_Salud_Carlos_III	566	0	69ea6c70c8904c58	cell	1	2	True	True	2	3	2	566	1	ha1_complete	2	2	1	1.0	538	538	prefer_modal_ha1_complete_variant	True
A/ARAGON/2102/2014	A/Aragon/2102/2014	EPI_ISL_169767	2014-12-05	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls	A/Aragon/2102/2014	2014-12-05	MDCK	2014-12-05	Servicio_de_Microbiologia_Hospital_Miguel_Servet	EPI_ISL_169767|A/Aragon/2102/2014|2014-12-05|MDCK|2014-12-05|Servicio_de_Microbiologia_Hospital_Miguel_Servet	356	0	c4762e4d948002f6	cell	1	0	False	True	1	2	2	566	1	ha1_complete	2	1	1	1.0	552	552	prefer_low_ambiguity	True
A/ARAGON/2103/2014	A/Aragon/2103/2014	EPI_ISL_169768	2014-12-02	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls	A/Aragon/2103/2014	2014-12-02	MDCK	2014-12-02	Servicio_de_Microbiologia_Hospital_Miguel_Servet	EPI_ISL_169768|A/Aragon/2103/2014|2014-12-02|MDCK|2014-12-02|Servicio_de_Microbiologia_Hospital_Miguel_Servet	356	0	f0b7db71c4542e77	cell	1	0	False	True	1	2	2	566	1	ha1_complete	2	1	1	1.0	552	552	prefer_low_ambiguity	True
A/ARAGON/266/2014	A/Aragon/266/2014	EPI_ISL_154251	2014-01-09	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls	A/Aragon/266/2014	2014-01-09	MDCK	2014-01-09	Servicio_de_Microbiologia_Hospital_Miguel_Servet	EPI_ISL_154251|A/Aragon/266/2014|2014-01-09|MDCK|2014-01-09|Servicio_de_Microbiologia_Hospital_Miguel_Servet	356	0	28a166efac6afc7f	cell	1	0	False	True	2	3	2	566	1	ha1_complete	2	2	1	2.0	550	550	prefer_modal_ha1_complete_variant	True
A/ARAGON/271/2014	A/Aragon/271/2014	EPI_ISL_154252	2014-01-08	Europe / Spain / Aragon	Human	gisaid_meta_2011-2014.xls	A/Aragon/271/2014	2014-01-08	MDCK	2014-01-08	Servicio_de_Microbiologia_Hospital_Miguel_Servet	EPI_ISL_154252|A/Aragon/271/2014|2014-01-08|MDCK|2014-01-08|Servicio_de_Microbiologia_Hospital_Miguel_Servet	356	0	1f20567177fa297d	cell	1	0	True	True	2	2	1	356	1	ha1_complete	1	2	0	1.0	0	0	identical_sequences	False
A/ARAGON/RR3443/2009	A/Aragon/RR3443/2009	EPI_ISL_32753	2009-01-19	Europe / Spain / Aragon	Human	gisaid_meta_2010.xls	A/Aragon/RR3443/2009	2009-01-19		2009-01-19		EPI_ISL_32753|A/Aragon/RR3443/2009|2009-01-19||2009-01-19|	269	0	18d48fc68438c2f7	unknown	4	0	True	False	1	1	1	269	1	longest_available	1	1	0	1.0	0	0	single_isolate_id	False
A/ARGENTINA/10/2001	A/Argentina/10/2001	EPI_ISL_186722	2001-06-25	South America / Argentina	Human	gisaid_meta_2010.xls	A/Argentina/10/2001	2001-06-25		2001-06-25		EPI_ISL_186722|A/Argentina/10/2001|2001-06-25||2001-06-25|	350	0	71e265b02462157f	unknown	4	0	True	True	1	1	1	350	1	ha1_complete	1	1	0	1.0	0	0	single_isolate_id	False
